,Song ID,asset_id,Title,songtrust_composer,youtube_writers
864453,3091275,A929692505992565,GAME TIME,MCFETRIDGE/GEORGE/PRINCE/MARIANI/LUVINER,JERRY MARIANI;SEAN GEORGE;SEAN PRICE;TRAVIS MCFETRIDGE;VINCENT LUVINER
864866,3154627,A862749184322709,GAMMELPOP,LIPPOK/MORGENSTERN,BARBARA MARGARETE MORGENSTERN;ROBERT LIPPOK
864867,2477591,A724129785736523,GAMPO,"ANDERSON, JACOB",ANDERSON JACOB
864880,3138214,A653367619868742,GANDHI BLUES (GIZZLE REMIX),"GANDHI, KIRAN",ALEXIA NICHOLE RINER;GLENDA R PROBY;KIRAN KYRIE GANDHI
864881,708247,A864676514750197,GANEMOS TIEMPO,CARBALLO/HERNANDEZ,CARBALLO/HERNANDEZ
864883,2818677,A836070536026454,GANESH,TRIVELLATO,GIORDANO TRIVELLATO; TOBACCO MUSIC EDITION; GIULIANO SACCHETTO
864964,3135048,A715349117926124,GANG STORIES,BARNETT/WEST/PITTS/CALVIN/PATTERSON,AUSTIN PATTERSON IV;BRIAN K. WEST;CARY L. CALVIN;PATRICK EARLE PITTS
864965,3135048,A161174950333377,GANG STORIES,BARNETT/WEST/PITTS/CALVIN/PATTERSON,BARNETT  MICHAEL;CALVIN  CARY L;PATTERSON  AUSTIN;PITTS  PATRICK EARLE;WEST  BRIAN K
864971,2818685,A658081148432023,GANGES,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
864992,2273682,A802485188495592,GANGLAND,"WILLIAMS, BRANDON",BRANDON DEANDRE WILLIAMS
865197,3007663,A222107226305167,GANGSTA,"EVANS, ROBERT",EVANS ROBERT
865447,2276413,A870719090723286,GANGSTA GROOVE,"BLACK, DAMIAN",BLACK DAMIAN
865451,3089055,A448849657094527,GANGSTA IN ME,"WILLIAMS, ALEXANDER",MILES ANTWONG;WILLIAMS ALEXANDER
865530,3133608,A677834520495827,GANGSTA TEAM,"TYLER/SHAKUR/JENKINS/GREEN, JR./WEST/CALVIN/PATTERSON",CALVIN  CARY L;GREEN  ROBERT LEE JR;MARROW  TRACY LAUREN;PATTERSON  AUSTIN;SHAKUR  TUPAC AMARU;TYLER  AARON B;WEST  BRIAN K
865564,3214024,A127942822439274,GANJA AH MI WOMAN,THOMPSON/DELAC/GROSSMAN/GORE,DELAC BRIAN;GORE MICHAEL;GROSSMAN DANIEL;THOMPSON ROY
865566,3214022,A140478501687892,GANJA BABY,BROWN/DELAC/GROSSMAN/GORE,BROWN ANDREW;DELAC BRIAN;GORE MICHAEL;GROSSMAN DANIEL
865569,3136419,A643553345276990,GANJA DAZE,MCNUTT/XAVIER/KUMAGAI/ALEXANDER/MILLER,BRAD XAVIER;DAVID ALEXANDER;DUSTIN MILLER;MICHAEL KUMAGAI;TIMOTHY MCNUTT
865588,2478618,A231515719978726,GARANDS,CANNATA/GADHIA/COMTOIS/TILLEY/HASHEMIAN,EHSON HASHEMIAN;ERIC MATTHEW CANNATA;FRANCOIS PAUL COMTOIS;JACOB JOHN TILLEY;SAMEER GADHIA
865618,2320502,A616851904216517,GARCIA,"BEN EZRA, ADAM",BEN EZRA ADAM
865959,2818706,A766636235067980,GARDEN OF EDEN,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
866009,3132414,A276624557738490,GARDEN OF FAINTING STARS,MAIMONE/KHAN/KIHLSTEDT/BOSSI/HAMILTON,CARLA KIHLSTEDT;ELYAS KHAN;JOEL HAMILTON;MATTHIAS BOSSI;TONY MAIMONE
866011,2818708,A264153495987464,GARDEN OF GODS,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO"
866051,2189237,A224863040007249,GARDEN PATH,"HURLEY, SHANNON",HURLEY SHANNON
